OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
351621,232845024,10/11/2023 2:22:26 PM,6/1/2023 3:20:00 PM,8/7/2023 3:20:00 PM,Thursday,5,6,603,720 RALPH MCGILL BLVD NE,Residence/ Home / Apartment / Condo,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.36422,33.766169,Old Fourth Ward,M,2,Part II,1,5d3be5a9-fa9c-46ee-9b84-741c90952d35,-84.36422,33.766169
351627,232840572,10/11/2023 2:23:39 PM,10/11/2023 5:00:00 AM,10/11/2023 8:44:00 AM,Wednesday,4,3,304,55 MILTON AVE SE,Highway/ Road/ Alley/ Street/ Sidewalk,23G,Theft of Motor Vehicle Parts or Accessories,PROPERTY,N,,,Morning Watch,-84.386469,33.723915,Peoplestown,V,1,Part I,1,2a0d5353-e354-4e31-8a26-3e58b122f593,-84.386469,33.723915
351629,232840602,10/11/2023 2:30:15 PM,10/11/2023 12:00:00 PM,10/11/2023 1:30:00 PM,Wednesday,4,2,206,2960 PIEDMONT RD NE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.368127,33.835132,Garden Hills,B,7,Part I,1,780dd95e-2a32-487c-84f6-94a6e0240c2d,-84.368127,33.835132
351635,232845029,10/11/2023 2:42:13 PM,10/4/2023 1:00:00 PM,10/4/2023 1:00:00 PM,Wednesday,4,6,608,1655 S PONCE DE LEON AVE NE,Bank - Savings and Loan,26C,Impersonation,PROPERTY,N,,,Day Watch,-84.333219,33.772965,Druid Hills,N,6,Part II,1,7ae9845a-9f44-4dcd-890e-643ed1429fae,-84.333219,33.7729650000001
351637,232845032,10/11/2023 2:42:18 PM,10/5/2023 4:30:00 PM,10/6/2023 3:11:00 AM,Thursday,5,2,212,2448 CHESHIRE BRIDGE RD NE,Convenience Store,26A,False Pretenses/Swindle/Confidence Game,PROPERTY,N,,,Day Watch,-84.351935,33.821713,Lindridge/Martin Manor,F,6,Part II,1,be81bfb3-b3f2-4edb-bb25-be8f07a27b4f,-84.351935,33.821713
351625,232845028,10/11/2023 2:42:23 PM,6/7/2017 3:00:00 AM,6/7/2017 3:00:00 AM,Tuesday,3,3,304,564 REED ST SE,Residence/ Home / Apartment / Condo,26C,Impersonation,PROPERTY,N,,,Morning Watch,-84.385347,33.739232,Summerhill,V,1,Part II,1,ac19139d-1737-4c0b-a85a-9f801f97ecbf,-84.385347,33.7392320000001
351632,232840590,10/11/2023 2:49:31 PM,10/10/2023 8:00:00 PM,10/11/2023 10:30:00 AM,Tuesday,3,4,402,1095 TUCKER AVE SW,Residence/ Home / Apartment / Condo,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.423401,33.724116,Oakland City,S,4,Part I,1,b3dc1b2f-50ef-4f99-a914-d2c5ca98dc24,-84.423401,33.724116
351667,232840474,10/11/2023 3:04:47 PM,10/11/2023 12:04:00 PM,10/11/2023 2:30:00 PM,Wednesday,4,6,609,1503 HARDEE ST NE,Park/ Playground,13A,Aggravated Assault,PERSON,N,,,Day Watch,-84.338382,33.755264,Edgewood,O,5,Part I,1,12e134b6-eda3-4fdf-acf9-c8452c618479,-84.338382,33.7552640000001
351630,232840647,10/11/2023 3:16:03 PM,10/10/2023 11:00:00 PM,10/11/2023 12:30:00 PM,Tuesday,3,6,601,1027 MONROE DR NE,Commercial/ Office Building,220,Burglary/Breaking & Entering,PROPERTY,N,,,Evening Watch,-84.368084,33.782852,Virginia Highland,F,6,Part I,,0de26f6a-72d4-4508-90e8-3ed601b7547b,-84.368084,33.782852
351649,232840627,10/11/2023 3:17:36 PM,10/10/2023 9:00:00 PM,10/11/2023 1:30:00 PM,Tuesday,3,4,407,294 BOULDER PARK LN SW,Residence/ Home / Apartment / Condo,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.503206,33.750714,Adamsville,H,10,Part I,1,e7e4c826-a973-402c-a5e9-2ed6fee5596f,-84.503206,33.7507140000001
