NIBRS Code Name,Report Date,Location,Victim Count,Crime Against,Was a firearm involved?,Longitude,Latitude,Severity Score
All Other Larceny,10/10/2023 8:46:47 PM,627 CHARLOTTE PL NW,1.0,PROPERTY,N,-84.450123,33.772046,0.1665
Robbery,10/10/2023 8:47:45 PM,1217 METROPOLITAN PKWY SW,2.0,PROPERTY,N,-84.408394,33.721736,0.2997
Destruction/Damage/Vandalism of Property,10/10/2023 9:08:43 PM,194 HOWARD ST NW,1.0,PROPERTY,N,-84.453016,33.752293,0.1665
Theft From Motor Vehicle,10/10/2023 9:09:49 PM,935 MARIETTA ST NW,1.0,PROPERTY,N,-84.408411,33.777983,0.0999
Motor Vehicle Theft,10/10/2023 9:14:39 PM,1541 HARBIN RD SW,1.0,PROPERTY,N,-84.483791,33.713737,0.2331
Shoplifting,10/10/2023 9:31:39 PM,1531 CAMPBELLTON RD SW,0.0,PROPERTY,N,-84.43863,33.713271,0.1332
Destruction/Damage/Vandalism of Property,10/10/2023 9:33:44 PM,850 NORTHSIDE DR NW,0.0,PROPERTY,N,-84.407725,33.77807,0.1665
All Other Larceny,10/10/2023 9:50:18 PM,640 GLEN IRIS DR NE,1.0,PROPERTY,N,-84.368896,33.772187,0.1665
Destruction/Damage/Vandalism of Property,10/10/2023 9:57:15 PM,2572 LENOX RD NE,1.0,PROPERTY,N,-84.353653,33.824483,0.1665
Simple Assault,10/10/2023 10:20:12 PM,2841 GREENBRIAR PKWY SW,1.0,PERSON,N,-84.493282,33.688452,0.1332
All Other Larceny,10/10/2023 10:26:54 PM,955 SPRING ST NW,1.0,PROPERTY,N,-84.388664,33.780835,0.1665
All Other Larceny,10/10/2023 10:28:13 PM,4075 PACES FERRY RD NW,0.0,PROPERTY,N,-84.451658,33.860995,0.1665
Drug/Narcotic Violations,10/10/2023 10:33:26 PM,469 MARIETTA ST NW,0.0,SOCIETY,Y,-84.396691,33.76564,0.49950000000000006
Weapon Law Violations,10/10/2023 10:33:26 PM,469 MARIETTA ST NW,0.0,SOCIETY,Y,-84.396691,33.76564,0.49950000000000006
Drug/Narcotic Violations,10/10/2023 10:36:35 PM,BROWNLEE RD NW / MARTIN L KING JR DR NW,0.0,SOCIETY,N,-84.500156,33.755703,0.1665
Simple Assault,10/10/2023 10:36:47 PM,3315 ROSWELL RD NE,1.0,PERSON,N,-84.38033,33.845682,0.1332
Theft From Motor Vehicle,10/10/2023 10:41:35 PM,1188 CHATHAM AVE SW,1.0,PROPERTY,N,-84.442819,33.722837,0.0999
Aggravated Assault,10/10/2023 11:00:02 PM,2712 CHERRY LAUREL LN SW,1.0,PERSON,N,-84.479345,33.694956,0.2664
Robbery,10/10/2023 11:06:12 PM,1 BUCKHEAD LOOP NE,1.0,PROPERTY,Y,-84.372064,33.850044,0.6327
Weapon Law Violations,10/10/2023 11:31:03 PM,3000 PEACHTREE DR NE,0.0,SOCIETY,Y,-84.368252,33.837615,0.49950000000000006
Burglary/Breaking & Entering,10/10/2023 11:33:40 PM,3201 DOWNWOOD CIR NW,2.0,PROPERTY,N,-84.42601,33.841337,0.1998
Theft From Building,10/10/2023 11:47:16 PM,PEACHTREE PL NW / SPRING ST NW,1.0,PROPERTY,N,-84.388997,33.780562,0.1332
All Other Larceny,10/10/2023 11:50:11 PM,950 MARIETTA ST NW,1.0,PROPERTY,N,-84.408215,33.776821,0.1665
Destruction/Damage/Vandalism of Property,10/10/2023 11:53:23 PM,479 STONEWALL ST SW,1.0,PROPERTY,N,-84.403198,33.749836,0.1665
False Pretenses/Swindle/Confidence Game,10/11/2023 12:43:52 AM,20 STANDISH AVE NW,1.0,PROPERTY,N,-84.394335,33.798573,0.1998
Destruction/Damage/Vandalism of Property,10/11/2023 12:50:46 AM,794 LIBERTY COMMONS DR NW,1.0,PROPERTY,N,-84.414638,33.755891,0.1665
